2025-11-04 16:09:43.459 [INFO] [STARTUP] [no-uuid-found] | Starting Solar Monitoring System...
2025-11-04 16:09:43.613 [INFO] [MAPPING_LOAD] [no-uuid-found] | Loaded 0 active mappings from MongoDB
2025-11-04 16:09:43.613 [INFO] [MAPPING_SERVICE] [no-uuid-found] | MongoDB Mapping Service initialized with 0 mappings
2025-11-04 16:09:43.613 [INFO] [MAPPER] [no-uuid-found] | MongoDB-backed mapping service initialized
2025-11-04 16:09:43.613 [INFO] [MAPPING_WATCH] [no-uuid-found] | Starting change stream watcher
2025-11-04 16:09:43.613 [INFO] [INIT] [no-uuid-found] | Data receiver initialized with mongo
2025-11-04 16:09:43.642 [ERROR] [MAPPING_WATCH] [no-uuid-found] | Failed to create change stream: (Location40573) The $changeStream stage is only supported on replica sets
2025-11-04 16:09:59.848 [DEBUG] [MAPPING] [a85e52e0-0983-40] | Using source: current_format
2025-11-04 16:09:59.853 [ERROR] [MAPPING] [a85e52e0-0983-40] | Mapping failed: mapping not found for source: current_format
2025-11-04 16:09:59.856 [DEBUG] [MAPPING] [ba0af246-519a-4e] | Using source: format_2_inverter
2025-11-04 16:09:59.856 [ERROR] [MAPPING] [ba0af246-519a-4e] | Mapping failed: mapping not found for source: format_2_inverter
2025-11-04 16:09:59.866 [DEBUG] [MAPPING] [d168f436-b48a-4e] | Using source: flat_format_device
2025-11-04 16:09:59.867 [ERROR] [MAPPING] [d168f436-b48a-4e] | Mapping failed: mapping not found for source: flat_format_device
2025-11-04 16:09:59.876 [DEBUG] [MAPPING] [c6c2b61f-1617-4c] | Using source: unit_conversion_device
2025-11-04 16:09:59.877 [ERROR] [MAPPING] [c6c2b61f-1617-4c] | Mapping failed: mapping not found for source: unit_conversion_device
2025-11-04 16:09:59.885 [DEBUG] [MAPPING] [88c79508-cce4-4e] | Using source: current_format
2025-11-04 16:09:59.886 [ERROR] [MAPPING] [88c79508-cce4-4e] | Mapping failed: mapping not found for source: current_format
2025-11-04 16:09:59.896 [DEBUG] [MAPPING] [ed3c5ebb-ab15-4b] | Using source: format_2_inverter
2025-11-04 16:09:59.897 [ERROR] [MAPPING] [ed3c5ebb-ab15-4b] | Mapping failed: mapping not found for source: format_2_inverter
2025-11-04 16:09:59.906 [DEBUG] [MAPPING] [796acf76-cefb-42] | Using source: flat_format_device
2025-11-04 16:09:59.906 [ERROR] [MAPPING] [796acf76-cefb-42] | Mapping failed: mapping not found for source: flat_format_device
2025-11-04 16:09:59.916 [DEBUG] [MAPPING] [7fb56fb8-6abd-40] | Using source: unit_conversion_device
2025-11-04 16:09:59.917 [ERROR] [MAPPING] [7fb56fb8-6abd-40] | Mapping failed: mapping not found for source: unit_conversion_device
2025-11-04 16:09:59.925 [DEBUG] [MAPPING] [9384c424-3afe-41] | Using source: current_format
2025-11-04 16:09:59.926 [ERROR] [MAPPING] [9384c424-3afe-41] | Mapping failed: mapping not found for source: current_format
2025-11-04 16:09:59.936 [DEBUG] [MAPPING] [dcf1343c-15f2-4d] | Using source: format_2_inverter
2025-11-04 16:09:59.937 [ERROR] [MAPPING] [dcf1343c-15f2-4d] | Mapping failed: mapping not found for source: format_2_inverter
2025-11-04 16:09:59.946 [DEBUG] [MAPPING] [20bc6ee3-32bb-4f] | Using source: flat_format_device
2025-11-04 16:09:59.947 [ERROR] [MAPPING] [20bc6ee3-32bb-4f] | Mapping failed: mapping not found for source: flat_format_device
2025-11-04 16:09:59.956 [DEBUG] [MAPPING] [30a7e58b-7c9f-4d] | Using source: unit_conversion_device
2025-11-04 16:09:59.957 [ERROR] [MAPPING] [30a7e58b-7c9f-4d] | Mapping failed: mapping not found for source: unit_conversion_device
2025-11-04 16:09:59.966 [DEBUG] [MAPPING] [3d6b7e1b-6953-48] | Using source: current_format
2025-11-04 16:09:59.967 [ERROR] [MAPPING] [3d6b7e1b-6953-48] | Mapping failed: mapping not found for source: current_format
2025-11-04 16:09:59.976 [DEBUG] [MAPPING] [1e7543ad-33ef-44] | Using source: format_2_inverter
2025-11-04 16:09:59.977 [ERROR] [MAPPING] [1e7543ad-33ef-44] | Mapping failed: mapping not found for source: format_2_inverter
2025-11-04 16:09:59.986 [DEBUG] [MAPPING] [e32a0741-d50d-4d] | Using source: flat_format_device
2025-11-04 16:09:59.987 [ERROR] [MAPPING] [e32a0741-d50d-4d] | Mapping failed: mapping not found for source: flat_format_device
2025-11-04 16:09:59.996 [DEBUG] [MAPPING] [628eeee0-cf54-4e] | Using source: unit_conversion_device
2025-11-04 16:09:59.997 [ERROR] [MAPPING] [628eeee0-cf54-4e] | Mapping failed: mapping not found for source: unit_conversion_device
2025-11-04 16:10:00.007 [DEBUG] [MAPPING] [52dd583f-8b4c-43] | Using source: current_format
2025-11-04 16:10:00.009 [ERROR] [MAPPING] [52dd583f-8b4c-43] | Mapping failed: mapping not found for source: current_format
2025-11-04 16:10:00.016 [DEBUG] [MAPPING] [6e71b27c-77c3-4e] | Using source: format_2_inverter
2025-11-04 16:10:00.019 [ERROR] [MAPPING] [6e71b27c-77c3-4e] | Mapping failed: mapping not found for source: format_2_inverter
2025-11-04 16:10:00.025 [DEBUG] [MAPPING] [68ee9115-6528-4c] | Using source: flat_format_device
2025-11-04 16:10:00.026 [ERROR] [MAPPING] [68ee9115-6528-4c] | Mapping failed: mapping not found for source: flat_format_device
2025-11-04 16:10:00.035 [DEBUG] [MAPPING] [ef872a78-eba2-49] | Using source: unit_conversion_device
2025-11-04 16:10:00.036 [ERROR] [MAPPING] [ef872a78-eba2-49] | Mapping failed: mapping not found for source: unit_conversion_device
